CATEGORIA;NOMBRE;REFERENCIA;UNIDAD;GENERACION;VALOR
INSUMOS;DRY CHEMISTRY URINE ANALYSIS CONTROL - NO.II      LAB.  -   NO.II;3523;;;0.14
INSUMOS;DRY CHEMISTRY URINE ANALYSIS CONTROL - NO.III      LAB.  -   NO.III;3525;;;0.14
INSUMOS;EDAN CALIBRADOR CP100 PACK 100 TEST L15;47;;;166.67
INSUMOS;EDAN CARTUCHO BG10 TEST PARA GASOMETRÍA;48;;;22.5
INSUMOS;ELECSYS FERRITIN X 100 GEN. 2. LAB.  -  3737551190;1846;;;666.67
INSUMOS;ELECSYS PRO CELL LAB    -    11662988122;3526;;;0.14
INSUMOS;ENVASES PARA RECOLECCION DE ORINA 24H.  LAB.  - 01ENMOJOS24H;1723;;;2.43
INSUMOS;EQUIPO PERICRANEAL - CATETER MARIPOSA - N.22G;1014;;;0.15
INSUMOS;"ESPARADRAPO TRANSPORE 3"" X 10Y - 3M - REF:1527-3";418;;;8.33
INSUMOS;FILTER NOM. P/SEDIMERNTS P X 10 - 20XX HYTREX (FIBRA) ROCHE.  -  LAB.  -  4516273001;2547;;;41.86
INSUMOS;FRASCO PARA MUESTRA DE ORINA - 100 ML;50;;;0.16
INSUMOS;GGT GEN. 2, 400 TESTS, COBAS C, INTEGRA. COD: 3002721122  (LAB.);1056;;;266.67
INSUMOS;GIARDIA HECES CASSETTE.  LAB.  -  CEP-003;2318;;;116.67
INSUMOS;GLUC HK GEN.3, 800 TESTS, COBAS C, INTEGRA.  COD: 4404483190  (LAB.);1057;;;333.33
INSUMOS;GLUTEST 50GR. X 200ML, (LAB.) COD. QU-600101;1227;;;5.17
INSUMOS;GLUTEST 75GR. X 200ML, (LAB.) COD. QU-600102;1226;;;5.33
INSUMOS;GORROS DESECHABLES PAQUET X 100U;63;;;0.09
INSUMOS;GUANTES DE LATEX T - L;65;;;0.09
INSUMOS;GUANTES DE LATEX T - M;66;;;0.09
INSUMOS;GUANTES DE LATEX T - S;67;;;0.09
INSUMOS;GUANTES DE NITRILO T-S  S/TALCO;69;;;0.09
INSUMOS;H. PYLORI AG HECES CASS X 25. COD. R0192C;1229;;;2.83
INSUMOS;HDLC GEN. 4 - 350 TEST COBAS C INTEGRAL  (LAB.)  -  7528566190;1406;;;700
INSUMOS;HEMOCULTIVOS SIGNAL BL CULTURE 84ML (OXIDO) LAB. -  BC0100M;1775;;;22.22
MEDICAMENTOS;HEPARINA (NO FRACCIONADA) LIQUIDO PARENTERAL 5000 UI/ML 5ML .;321;;;4.85
INSUMOS;HEPATITIS C/HCV KIT X 20 (INNOVATEST)  LAB.  INNO-IHC-402;3884;;;0.9
INSUMOS;"HISOPOS LARGOS DE MADERA 6""";400;;;0.03
INSUMOS;HIV AG/AB 4TH GENERATION CASS (RAPID TEST);790;;;3.17
INSUMOS;IGE G2 ELECSYS COBA.  LAB:  - COD: 4827031190;1725;;;916.67
INSUMOS;INFLUENZA A+B X 20 CASSETTE (CERTEST)  LAB;4010;;;7.92
INSUMOS;IRON GEN2 200TESTS COBAS C INTEGRA.  (LAB.)  -  3183696122;1644;;;150
INSUMOS;ISE DILUENT GEN.2, COBAS C, HITACHI. (LAB.)  4522630190;1063;;;223.33
INSUMOS;ISE ESTANDARD HIGH 10 X 3ML (LAB)  -  11183982216;437;;;113.33
INSUMOS;ISE ESTÁNDARD LOW 10 X 3 ML (LAB.)  -  11183974216;222;;;113.33
INSUMOS;ISE REFERENCE ELECTROLYTE 300ML. (LAB.)  11360981216;1062;;;3600
INSUMOS;"JERINGA 10 ML, 21 G, 1 1/4 """;84;;;0.22
INSUMOS;"JERINGA 20 ML, 21 G, 1 1/2 """;85;;;0.22
INSUMOS;JERINGA 3 ML, 23G X  1;1228;;;0.06
INSUMOS;"JERINGA 5 ML, 22 G, 1 1/2""";83;;;0.22
INSUMOS;LAMINA PORTA OBJETO;615;;;0.05
INSUMOS;LDHI GEN.2 ACC. IFCC, 300T, COBAS C.  LAB.  -  COD: 3004732122;1729;;;125
INSUMOS;LEUCOTEST 1000ML;2632;;;17.22
INSUMOS;LIPC, 200 TESTS, COBAS C, INTEGRA.  LAB. -  3029590322;1848;;;400
INSUMOS;MAGLUMI 17 OH - PROGESTERONE 50T/BOX.  LAB.  242413123;1850;;;391.67
INSUMOS;MAGLUMI AFP (ALFA FETO PROTEINA) 50T/BOX. LAB.  -  24111192;4520;;;116.67
INSUMOS;MAGLUMI ANDROSTENEDIONE (CLIA) 50T/BOX - 248869. LAB;4586;;;608.33
INSUMOS;MAGLUMI ANTI TG 50T/BOX   LAB.  -   248872;4053;;;253.9
INSUMOS;MAGLUMI CA 125 50T/BOX.  LAB.  -  24111198;4522;;;313.33
INSUMOS;MAGLUMI CA 15-3 50T/BOX.  LAB.   -   PROD0023014;4521;;;313.33
INSUMOS;MAGLUMI CA 199 50T/BOX.  LAB.  -  241111100;4524;;;313.33
INSUMOS;MAGLUMI CA 72-4 50T/BOX. LAB - 241111104;4532;;;329.25
INSUMOS;MAGLUMI CEA 50T/BOX. LAB - 24111193;4535;;;116.67
INSUMOS;MAGLUMI CYFRA/CA 21-1 50T/BOX.  LAB.  -  241111102;4642;;;313.33
INSUMOS;MAGLUMI D-DMER 50T/BOX  LAB.  -  REF: 241617139;495;;;396.67
INSUMOS;MAGLUMI FA 50T/BOX. LAB. - REF: 241516130;1716;;;187.7
INSUMOS;MAGLUMI F-PSA 50T/BOX. LAB - 24111195;4681;;;205
INSUMOS;MAGLUMI FREE T4 (CLIA) 2G/50 TESTS.  LAB.  -  130653004M;4423;;;137.5
INSUMOS;MAGLUMI FSH 50T/BOX. LAB. 249977;4679;;;126.95
INSUMOS;MAGLUMI FT3 50T/BOX. LAB - 248870;4529;;;110.4
INSUMOS;MAGLUMI FT4 50T/BOX.  LAB.   -  248869;4054;;;110.4
INSUMOS;MAGLUMI H. PYLORI IGG 50T/BOX LAB.  - REF: 241111110;850;;;4.47
INSUMOS;MAGLUMI H. PYLORI IGM 50T/BOX. LAB. - REF: 241111711;774;;;4.63
INSUMOS;MAGLUMI HBSAG (CLIA) 2G/50 TESTS.  LAB.  -  130610009M;4437;;;124.58
INSUMOS;MAGLUMI HIV AB/AG COMBI 50T/BOX   -    242122172;4715;;;391.67
INSUMOS;MAGLUMI HSV-2 IGG 50 T/BOX,  LAB.  -   242223180;4811;;;223.33
INSUMOS;MAGLUMI IGE 50T/BOX. LAB.  -   241920150;4639;;;3.67
INSUMOS;MAGLUMI IGE CLIA 2G 50 TEST. LAB -  130658001M;4809;;;250
INSUMOS;MAGLUMI IL-6 (INTERLUQUINA 6) 50T/BOX . LAB - 248866;4805;;;800
INSUMOS;MAGLUMI INSULIN CLIA 2G 50 TESTS.  LAB.   -   130655002M;4721;;;333.33
INSUMOS;MAGLUMI LH 50T/BOX. LAB - 249978;4528;;;126.95
INSUMOS;MAGLUMI NTPROBNP 50T/ BOX LAB.  241617135;1467;;;510
INSUMOS;MAGLUMI PCT (PROCALCITONINA) 50T/BOX - 241314124. LAB;4585;;;783.33
INSUMOS;MAGLUMI PROGESTERONE CLIA 2G 50 TESTS.  LAB.   -   130652009M;4719;;;141.67
INSUMOS;MAGLUMI PROLACTIN (CLIA) 2G/50 TESTS.  LAB.  -  130652006M;4419;;;158.33
INSUMOS;MAGLUMI REACTION MODULES X 2304 CUBETAS 1 BOX. (LAB.) COD.1084103104312;829;;;341.67
INSUMOS;MAGLUMI RUBELLA IGG 50T/BOX   LAB.  -  242223175;4812;;;145.83
INSUMOS;MAGLUMI RUBELLA IGM 50T/BOX   LAB.  -  242223176;4813;;;208.33
INSUMOS;MAGLUMI STARTER 1+2 (2*230ML) (LAB.)  COD.1084103104310;149;;;73.33
INSUMOS;MAGLUMI SYSTEM TUBING CLEANING SOLUTION FCO X 500 ML  (LAB.) COD.1084103104314;150;;;196
INSUMOS;MAGLUMI T3 50T/BOX. LAB - 248868;4806;;;110.4
INSUMOS;MAGLUMI T4 50T/BOX. LAB - 248867;4807;;;110.4
INSUMOS;MAGLUMI TESTOSTERONE 50/TBOX.  LAB.  - 249984;4420;;;126.95
INSUMOS;MAGLUMI TNI (TROPONINA I) 50T/BOX.  LAB.  -  241617133;4640;;;256.97
INSUMOS;MAGLUMI TOTAL HCG CLIA 2G 50 TESTS.  LAB.   -   130652003M;4720;;;150.58
INSUMOS;MAGLUMI TOTAL PSA 50T/BOX. LAB -24111194;4680;;;205
INSUMOS;MAGLUMI TSH 50T/BOX. LAB.  -  248866;4519;;;132.5
INSUMOS;MAGLUMI TSH CLIA 2G 50 TEST. LAB - 130603023M;4810;;;158.33
INSUMOS;MAGLUMI WASH CONCENTRATE FCO X 714 ML (LAB.) COD. 1084103104311;151;;;72
INSUMOS;MASCARILLA KN95 ;98;;;0.25
INSUMOS;MASCARILLAS QUIRURGICAS;97;;;0.17
INSUMOS;MECHAS LAMPARA DE ALCOHOL.  LAB.   -  EUR-019;1869;;;3.33
INSUMOS;MECHERO PARA ALCOHOL DE VIDRIO CON TAPA METALICA;4551;;;36.67
INSUMOS;MEDIOS DE TRANSPORTE STUART;369;;;0.67
INSUMOS;MINICOLLECT 0.5 ML X 100 UNDS;1556;;;0.25
INSUMOS;MINICOLLECT TUBO 1ML T/LILA ;2255;;;0.2
INSUMOS;MULTIDROGA PANEL 11 PARAMETROS (25);4545;;;6.67
INSUMOS;PARATIFICO 'A' 5 ML;2313;;;8.19
INSUMOS;PARATIFICO 'B' 5 ML;2314;;;8.19
INSUMOS;PARATIFICO 'H' 5 ML;2316;;;8.19
INSUMOS;PARATIFICO 'O' 5 ML;2315;;;8.19
INSUMOS;PHOS GEN. 2, 250TEST, COBAS C, INTEGRA. (LAB.)  -  3183793122;1166;;;125
INSUMOS;PORTA OBJETO C/BANDA 7105X50  (LAB.) ME-130066;342;;;1.68
INSUMOS;PORTA TUBO DE CENTRIFUGA;3580;;;30.8
INSUMOS;PROTEUS OX19 X 5ML;354;;;10.22
INSUMOS;PROTEUS OX2 X 5ML;355;;;10.22
INSUMOS;PROTEUS OXK X 5ML;357;;;10.22
INSUMOS;PRUEBA DE EMBARAZO CASSETTE X 20;1398;;;0.8
INSUMOS;PRUEBA RAPIDA HIPERSENSIBILIDAD DE 59 ALIMENTOS;3947;;;153.33
INSUMOS;PRUEBA RAPIDA SARS-COV-2 + FLU A + FLU B + RSV;3970;;;40
INSUMOS;PUNTAS AMARILLAS X 1000;2100;;;0.01
INSUMOS;PUNTAS AZULES GILSON 500 UL.   LAB.;2101;;;0.02
INSUMOS;PYLOPLUS UBT KIT;3399;;;56.33
INSUMOS;"RELOJ DIGITAL DE 1 TIEMPO ""EUROPA LABWARE"" - EUR-028";4608;;;11.5
INSUMOS;RFII, 100TESTS, COBAS C. INTEGRA, LAB.  -  20764574322;3077;;;500
INSUMOS;SALMONELLA CASSETTE X 20 CERTEST;4119;;;5.83
INSUMOS;SAMPLE CLEANER 2, COBAS 6000 LAB     -    5958024190;3521;;;0.14
INSUMOS;SAMPLE COLLECTION CUP 003 / KU-F20 PACK X 50.  LAB.   -   KU-CUP-003;3212;;;237.5
INSUMOS;SAMPLE COLLECTION CUP 003 KUF20 PACK X 50.  LAB.  -  KUCUP003;4855;;;237.5
INSUMOS;SANGRE OCULTA EN HECES ;1619;;;1.67
INSUMOS;SARS-COV-2 AG + INFLUENZA A + B + RSV + ADENOVIRUS RESPIRATORIO.  LAB.   -   7715053;2055;;;40
INSUMOS;SMS, COBAS C  LAB.  -   4489225190;2973;;;0.02
INSUMOS;T3 ELECSYS COBAS E 200 V2.  LAB.  -  9007725190;228;;;1166.67
INSUMOS;TABLA DE LECTURA GRUPO SANGUINEO;3958;;;15.33
INSUMOS;TABLA DE LECTURA WIDALL ACRILICA;3957;;;11.25
INSUMOS;TERMOHIGROMETRO DIGITAL HTC-2;4430;;;21.5
INSUMOS;TIRAS REACTIVAS DE ORINA URODIP 10 PARAMETROS (100);2768;;;0.27
INSUMOS;TORNIQUETE PARA ADULTO ;413;;;3.25
INSUMOS;TP 4ML - PACIFIC HEMOSTASIS.  LAB.  -  JNTP6-004-001;2546;;;1.67
INSUMOS;TP GEN.2, 300 TESTS, COBAS C, INTEGRA. (LAB.)   3183734190;1059;;;125
INSUMOS;TP LI THROMBPLASTIN LOW ISI RE 5X5ML DIL 2X15ML (TP250DET). LAB -  BE-771100;4808;;;458.33
INSUMOS;TPUC GEN3, 150 TESTS, COBAS C. INTEGRA TP.  LAB.   -   3333825190;3215;;;500
INSUMOS;TRIGL, 250 TESTS, COBAS C, INTEGRA. (LAB.) R: 20767107322;438;;;125
INSUMOS;TROPONIN T HS STAT ELECSYS COBAS E 100 V2. LAB.  - COD: 9315349190;1523;;;1666.67
INSUMOS;TRSF GEN. 2, 100 TESTS, COBAS C, INTEGRA. (LAB.)  -  3015050122;1060;;;300
INSUMOS;TUBERCULOSIS IGG/IGM COMBO [30] (CTK);3959;;;2.07
INSUMOS;TUBO ENSAYO DE VIDRIO 12X75MM;793;;;0.05
INSUMOS;TUBO ENSAYO VIDRIO 16 X 100 MM, 10ML  X 250,  LAB.  -  YIN-014;1399;;;0.1
INSUMOS;TUBO T.AMARILLA GEL (5ML) X100UNDS PLASTICO;2498;;;0.28
INSUMOS;TUBO T/AMARILLA 10 ML GEL;3803;;;0.29
INSUMOS;TUBO T/AMARILLA 3.5ML GEL&CLOT PLAST. [100]13*75MM;3361;;;0.18
INSUMOS;TUBO T/ROJA MINI 1.0ML PLASTICO;1750;;;26.67
INSUMOS;TUBO TAPA LILA EDTA. 2ML K3  LAB.  REF: 410203 (AB MEDICAL);1173;;;17.75
INSUMOS;TUBOS TAPA AMARILLA CON GEL 5ML X 100 (AB MEDICAL) REF: 321502;4712;;;0.28
INSUMOS;TUBOS TAPA CELESTE 4 ML PLASTICO;1462;;;0.16
INSUMOS;TUBOS TAPA LILA 4 ML PLASTICO 13 X 75 MM. LAB;364;;;0.16
INSUMOS;UA GEN.2 400TESTS, COBAS C, INTEGRA. LAB: COD: 3183807190;1737;;;295.18
INSUMOS;UREAL, 500TESTS, COBAS C. INTEGRA.   COD: 4460715190   (LAB.);1259;;;208.33
INSUMOS;URINE REAGENT STRIPS.  LAB.  -  KU14A;3211;;;275
INSUMOS;URINE SAMPLE COLLECTION TUBE/FUNDA X 100.   LAB.   -   TUBE-U-12-1;3507;;;0.14
INSUMOS;URINE SEDIMENT ANALYZER QUALITY CONTROL 01.  LAB.  -  KU-UQC-01;3516;;;0.14
INSUMOS;URINE SEDIMENT ANALYZER QUALITY CONTROL 02.  LAB.  -  KU-UQC-02;3518;;;0.14
INSUMOS;URINE SEDIMENT ANALYZER QUALITY CONTROL 03.  LAB.  -  KU-UQC-03;3386;;;0.14
INSUMOS;URINE SEDIMENT ANALYZER QUALITY CONTROL 04.   LAB.  -   KU-UQC-04;3513;;;0.14
INSUMOS;VDRL ESTABILIZADOR X 250 TEST.  LAB.  -  MO-165023;1985;;;15.92
